departures_performed,seats,passengers,distance,air_time,unique_carrier,airline_id,origin_airport_id,origin,dest_airport_id,dest,aircraft_group,aircraft_type,year,month
6,54,34,28,86,H6,20336,14234,PQS,13434,MOU,4,416,2015,11
40,3040,2499,921,5613,YX,20452,12264,IAD,13303,MIA,6,673,2018,2
2,130,99,323,102,MQ,20398,13930,ORD,12945,LEX,6,631,2019,10
56,2800,2261,358,3070,OO,20304,10779,BTM,14869,SLC,6,629,2018,11
118,1062,610,96,4602,9K,20253,11519,EIS,14843,SJU,1,125,2018,5
23,3680,3413,1682,4650,DL,19790,13487,MSP,11032,CUN,6,614,2015,1
30,2100,1477,718,2983,G7,20500,14685,SAV,12478,JFK,6,631,2016,9
1,189,182,1381,0,WG,21231,14293,PUJ,11057,CLT,6,614,2015,9
1,0,0,111,30,5X,19917,12339,IND,14730,SDF,6,622,2019,1
3,354,269,1754,730,UA,19977,10721,BOS,11292,DEN,6,612,2015,6
1,70,69,212,39,OO,20304,11292,DEN,11921,GJT,6,631,2018,11
26,4550,3750,1315,4544,WN,19393,10423,AUS,11278,DCA,6,614,2017,7
26,1300,1095,362,1451,9E,20363,11066,CMH,14492,RDU,6,629,2017,5
84,6555,5710,328,4080,YV,20378,14107,PHX,10140,ABQ,6,638,2019,6
3,228,0,859,407,QX,19687,14057,PDX,14908,SNA,4,482,2017,10
30,6778,4299,4869,16282,AA,19805,11298,DFW,14717,SCL,6,887,2016,6
1,0,0,463,67,AMQ,20201,12149,HKY,16091,YIP,6,635,2018,8
25,1900,1434,402,1510,OO,20304,14869,SLC,12156,HLN,6,673,2018,7
46,3564,2565,323,2650,YX,20452,11278,DCA,11066,CMH,6,673,2015,12
11,836,776,796,1134,9E,20363,16242,YXE,13487,MSP,6,638,2017,2
7,882,832,837,732,UA,19977,12266,IAH,11244,CZM,6,612,2018,12
61,366,128,13,672,4Y,20324,10551,BET,12855,KWT,0,35,2016,9
30,3840,3269,528,2484,UA,19977,14576,ROC,13930,ORD,6,698,2016,6
4,608,434,588,335,DL,19790,14908,SNA,14869,SLC,6,694,2015,12
1,9,4,130,32,8E,20331,12704,KKA,13873,OME,4,406,2016,12
